"ID","Handle","Command","Status","Definition: Handle","Top Row","Field","Value"
"","claim-bpc-157-tendon-recovery","MERGE","Active","evidence_claim","TRUE","headline","Faster tendon recovery"
"","claim-bpc-157-tendon-recovery","MERGE","","evidence_claim","FALSE","notes","<p>BPC-157 promoted tendon outgrowth, cell migration, and survival in injured Achilles tendons in a controlled rat model. <a href=""https://pubmed.ncbi.nlm.nih.gov/21030673/"" title=""BPC-157 tendon recovery study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bpc-157-gut-lining","MERGE","Active","evidence_claim","TRUE","headline","Soothes the gut lining"
"","claim-bpc-157-gut-lining","MERGE","","evidence_claim","FALSE","notes","<p>Repeated preclinical studies show BPC-157 protects the gastrointestinal mucosa and accelerates healing of ulcers and inflammatory bowel injury. <a href=""https://pubmed.ncbi.nlm.nih.gov/27138888/"" title=""BPC-157 gut protection study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bpc-157-strained-joints","MERGE","Active","evidence_claim","TRUE","headline","Heals strained joints"
"","claim-bpc-157-strained-joints","MERGE","","evidence_claim","FALSE","notes","<p>Improved healing of transected medial collateral ligaments with faster functional recovery versus controls in a rat injury model. <a href=""https://pubmed.ncbi.nlm.nih.gov/19357413/"" title=""BPC-157 ligament healing study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bpc-157-speeds-healing","MERGE","Active","evidence_claim","TRUE","headline","Speeds up healing"
"","claim-bpc-157-speeds-healing","MERGE","","evidence_claim","FALSE","notes","<p>Activates VEGFR2-Akt-eNOS signaling and angiogenesis pathways implicated in vascular and wound recovery. <a href=""https://pubmed.ncbi.nlm.nih.gov/29161092/"" title=""BPC-157 wound recovery study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bpc-157-calms-inflammation","MERGE","Active","evidence_claim","TRUE","headline","Calms inflammation"
"","claim-bpc-157-calms-inflammation","MERGE","","evidence_claim","FALSE","notes","<p>Reduces pro-inflammatory cytokines and oxidative-stress markers across multiple injury models. <a href=""https://pubmed.ncbi.nlm.nih.gov/29714714/"" title=""BPC-157 anti-inflammatory study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-renewed-skin","MERGE","Active","evidence_claim","TRUE","headline","Smoother, renewed skin"
"","claim-ghk-cu-renewed-skin","MERGE","","evidence_claim","FALSE","notes","<p>Remodels the dermal extracellular matrix and supports tissue regeneration after skin injury. <a href=""https://pubmed.ncbi.nlm.nih.gov/18534076/"" title=""GHK-Cu skin remodeling study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-younger-skin","MERGE","Active","evidence_claim","TRUE","headline","Younger-looking skin"
"","claim-ghk-cu-younger-skin","MERGE","","evidence_claim","FALSE","notes","<p>Modulates expression of more than 4,000 human genes back toward a more youthful profile. <a href=""https://pubmed.ncbi.nlm.nih.gov/29724083/"" title=""GHK-Cu anti-aging gene study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-collagen","MERGE","Active","evidence_claim","TRUE","headline","Boosts collagen"
"","claim-ghk-cu-collagen","MERGE","","evidence_claim","FALSE","notes","<p>Stimulates fibroblast collagen, elastin, and proteoglycan production in dermal studies. <a href=""https://pubmed.ncbi.nlm.nih.gov/22082858/"" title=""GHK-Cu collagen synthesis study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-fuller-hair","MERGE","Active","evidence_claim","TRUE","headline","Stronger, fuller hair"
"","claim-ghk-cu-fuller-hair","MERGE","","evidence_claim","FALSE","notes","<p>Increases hair-follicle size and reduces follicle-cell apoptosis in scalp-tissue models. <a href=""https://pubmed.ncbi.nlm.nih.gov/17524122/"" title=""GHK-Cu hair follicle study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-antioxidant","MERGE","Active","evidence_claim","TRUE","headline","Antioxidant shield"
"","claim-ghk-cu-antioxidant","MERGE","","evidence_claim","FALSE","notes","<p>Quenches reactive oxygen species and protects keratinocytes from UV-induced oxidative damage. <a href=""https://pubmed.ncbi.nlm.nih.gov/22612999/"" title=""GHK-Cu antioxidant study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-trust-connection","MERGE","Active","evidence_claim","TRUE","headline","Builds trust & connection"
"","claim-oxytocin-trust-connection","MERGE","","evidence_claim","FALSE","notes","<p>Intranasal oxytocin significantly increased trust behavior in a controlled human economic-game study. <a href=""https://pubmed.ncbi.nlm.nih.gov/15931222/"" title=""Oxytocin trust study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-stress-buffer","MERGE","Active","evidence_claim","TRUE","headline","Calms stress under pressure"
"","claim-oxytocin-stress-buffer","MERGE","","evidence_claim","FALSE","notes","<p>Combined with social support, suppressed cortisol and subjective stress in a psychosocial stress test. <a href=""https://pubmed.ncbi.nlm.nih.gov/14675803/"" title=""Oxytocin stress buffering study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-social-awareness","MERGE","Active","evidence_claim","TRUE","headline","Sharper social awareness"
"","claim-oxytocin-social-awareness","MERGE","","evidence_claim","FALSE","notes","<p>Improved recognition of subtle emotional cues from the eyes in a placebo-controlled human trial. <a href=""https://pubmed.ncbi.nlm.nih.gov/17137561/"" title=""Oxytocin social cognition study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-positive-memories","MERGE","Active","evidence_claim","TRUE","headline","Brighter social memories"
"","claim-oxytocin-positive-memories","MERGE","","evidence_claim","FALSE","notes","<p>Enhanced recall of positive social information in a double-blind, placebo-controlled human trial. <a href=""https://pubmed.ncbi.nlm.nih.gov/18514163/"" title=""Oxytocin positive memory study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-quiets-anxiety","MERGE","Active","evidence_claim","TRUE","headline","Quiets social anxiety"
"","claim-oxytocin-quiets-anxiety","MERGE","","evidence_claim","FALSE","notes","<p>fMRI evidence shows dampened amygdala reactivity to threatening social stimuli. <a href=""https://pubmed.ncbi.nlm.nih.gov/16330719/"" title=""Oxytocin amygdala fMRI study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-semax-brain-growth-signals","MERGE","Active","evidence_claim","TRUE","headline","Boosts brain growth signals"
"","claim-semax-brain-growth-signals","MERGE","","evidence_claim","FALSE","notes","<p>Elevates brain-derived neurotrophic factor (BDNF) and TrkB activity in the rat basal forebrain. <a href=""https://pubmed.ncbi.nlm.nih.gov/16805799/"" title=""Semax BDNF study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-semax-brain-recovery","MERGE","Active","evidence_claim","TRUE","headline","Supports brain recovery"
"","claim-semax-brain-recovery","MERGE","","evidence_claim","FALSE","notes","<p>Improved neurological outcomes versus placebo in patients with acute ischemic stroke in a clinical trial. <a href=""https://pubmed.ncbi.nlm.nih.gov/21253802/"" title=""Semax stroke recovery clinical trial on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-semax-focus-memory","MERGE","Active","evidence_claim","TRUE","headline","Sharper focus & memory"
"","claim-semax-focus-memory","MERGE","","evidence_claim","FALSE","notes","<p>Studied as a nootropic peptide that modulates attention and working memory under cognitively demanding tasks. <a href=""https://pubmed.ncbi.nlm.nih.gov/21229727/"" title=""Semax cognitive performance study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-semax-protects-brain-cells","MERGE","Active","evidence_claim","TRUE","headline","Protects brain cells"
"","claim-semax-protects-brain-cells","MERGE","","evidence_claim","FALSE","notes","<p>Modulates neurotrophic and anti-apoptotic gene expression implicated in neuronal survival. <a href=""https://pubmed.ncbi.nlm.nih.gov/27021785/"" title=""Semax neuroprotection study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-semax-stress-response","MERGE","Active","evidence_claim","TRUE","headline","Calms the stress response"
"","claim-semax-stress-response","MERGE","","evidence_claim","FALSE","notes","<p>A non-hormonal ACTH 4-10 derivative with documented anxiolytic and stress-buffering effects in animal models. <a href=""https://pubmed.ncbi.nlm.nih.gov/9131857/"" title=""Semax anxiolytic study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-tb-500-heart-recovery","MERGE","Active","evidence_claim","TRUE","headline","Supports heart recovery"
"","claim-tb-500-heart-recovery","MERGE","","evidence_claim","FALSE","notes","<p>Activates integrin-linked kinase, promoting cardiomyocyte migration, survival, and tissue repair after cardiac injury. <a href=""https://pubmed.ncbi.nlm.nih.gov/15229603/"" title=""Thymosin β-4 cardiac repair study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-tb-500-tissue-repair","MERGE","Active","evidence_claim","TRUE","headline","Faster tissue repair"
"","claim-tb-500-tissue-repair","MERGE","","evidence_claim","FALSE","notes","<p>Reviewed across studies as an actin-sequestering peptide that accelerates repair of skin, cornea, and heart tissue. <a href=""https://pubmed.ncbi.nlm.nih.gov/16129105/"" title=""Thymosin β-4 tissue repair review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-tb-500-hair-regrowth","MERGE","Active","evidence_claim","TRUE","headline","Promotes hair regrowth"
"","claim-tb-500-hair-regrowth","MERGE","","evidence_claim","FALSE","notes","<p>Stimulates hair growth via stem-cell migration in follicular bulge regions in murine studies. <a href=""https://pubmed.ncbi.nlm.nih.gov/14592859/"" title=""Thymosin β-4 hair growth study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-tb-500-eases-inflammation","MERGE","Active","evidence_claim","TRUE","headline","Eases inflammation"
"","claim-tb-500-eases-inflammation","MERGE","","evidence_claim","FALSE","notes","<p>Suppresses NF-κB-driven inflammatory mediators and accelerates dermal wound closure in animal trials. <a href=""https://pubmed.ncbi.nlm.nih.gov/20536549/"" title=""Thymosin β-4 anti-inflammatory study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-tb-500-eye-surface-healing","MERGE","Active","evidence_claim","TRUE","headline","Skin & eye-surface healing"
"","claim-tb-500-eye-surface-healing","MERGE","","evidence_claim","FALSE","notes","<p>Accelerated re-epithelialization and reduced inflammation in preclinical and clinical corneal-injury studies. <a href=""https://pubmed.ncbi.nlm.nih.gov/22405046/"" title=""Thymosin β-4 corneal healing study on PubMed"" target=""_blank"">[PubMed]</a></p>"
