"ID","Handle","Command","Status","Definition: Handle","Top Row","Field","Value"
"","claim-5htp-mood","MERGE","Active","evidence_claim","TRUE","headline","Supports mood balance"
"","claim-5htp-mood","MERGE","","evidence_claim","FALSE","notes","<p>A Cochrane review summarized RCTs showing antidepressant effects vs. placebo in mood disorders. <a href=""https://pubmed.ncbi.nlm.nih.gov/11869656/"" title=""5-HTP mood Cochrane review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-5htp-sleep","MERGE","Active","evidence_claim","TRUE","headline","Promotes restful sleep"
"","claim-5htp-sleep","MERGE","","evidence_claim","FALSE","notes","<p>Reviewed clinical literature describes 5-HTP as a serotonin precursor with effects on sleep quality. <a href=""https://pubmed.ncbi.nlm.nih.gov/9727088/"" title=""5-HTP serotonin and sleep review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-alcar-fatigue","MERGE","Active","evidence_claim","TRUE","headline","Reduces mental fatigue"
"","claim-alcar-fatigue","MERGE","","evidence_claim","FALSE","notes","<p>A 6-month RCT in centenarians reported reduced mental and physical fatigue and improved cognitive measures. <a href=""https://pubmed.ncbi.nlm.nih.gov/18065594/"" title=""ALCAR centenarian fatigue RCT on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-alcar-aging-cognition","MERGE","Active","evidence_claim","TRUE","headline","Supports aging cognition"
"","claim-alcar-aging-cognition","MERGE","","evidence_claim","FALSE","notes","<p>Meta-analysis of placebo-controlled trials showed clinical benefit in mild cognitive impairment and early Alzheimer's. <a href=""https://pubmed.ncbi.nlm.nih.gov/12598816/"" title=""ALCAR mild cognitive impairment meta-analysis on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-agmatine-nerve","MERGE","Active","evidence_claim","TRUE","headline","Eases nerve-related discomfort"
"","claim-agmatine-nerve","MERGE","","evidence_claim","FALSE","notes","<p>Two-phase clinical study reported improvements in lumbar disc-associated radiculopathy with oral agmatine. <a href=""https://pubmed.ncbi.nlm.nih.gov/20002590/"" title=""Agmatine lumbar radiculopathy study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-agmatine-glutamate","MERGE","Active","evidence_claim","TRUE","headline","Modulates glutamate signaling"
"","claim-agmatine-glutamate","MERGE","","evidence_claim","FALSE","notes","<p>Reviewed CNS pharmacology positions agmatine as an endogenous neuromodulator of glutamate-driven stress responses. <a href=""https://pubmed.ncbi.nlm.nih.gov/17927296/"" title=""Agmatine glutamate neuromodulation review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-alpha-gpc-memory","MERGE","Active","evidence_claim","TRUE","headline","Supports memory"
"","claim-alpha-gpc-memory","MERGE","","evidence_claim","FALSE","notes","<p>A 180-day multicenter RCT in mild-to-moderate Alzheimer's reported cognitive improvement vs. placebo. <a href=""https://pubmed.ncbi.nlm.nih.gov/12637119/"" title=""Alpha-GPC Alzheimer's multicenter RCT on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-alpha-gpc-strength","MERGE","Active","evidence_claim","TRUE","headline","Boosts physical power"
"","claim-alpha-gpc-strength","MERGE","","evidence_claim","FALSE","notes","<p>A 6-day RCT in healthy adults reported improvements in lower-body isometric force after Alpha-GPC supplementation. <a href=""https://pubmed.ncbi.nlm.nih.gov/26604821/"" title=""Alpha-GPC isometric strength RCT on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-aniracetam-anxiety","MERGE","Active","evidence_claim","TRUE","headline","Eases anxious tension"
"","claim-aniracetam-anxiety","MERGE","","evidence_claim","FALSE","notes","<p>Demonstrated anxiolytic effects across three independent mouse models of anxiety. <a href=""https://pubmed.ncbi.nlm.nih.gov/11295158/"" title=""Aniracetam anxiolytic study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-aniracetam-memory","MERGE","Active","evidence_claim","TRUE","headline","Sharpens memory"
"","claim-aniracetam-memory","MERGE","","evidence_claim","FALSE","notes","<p>Reviewed in pharmacology literature as a cognitive-enhancing pyrrolidone with positive effects on memory. <a href=""https://pubmed.ncbi.nlm.nih.gov/7522445/"" title=""Aniracetam memory pharmacology review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ashwagandha-stress","MERGE","Active","evidence_claim","TRUE","headline","Lowers stress & cortisol"
