"ID","Handle","Command","Status","Definition: Handle","Top Row","Field","Value"
"","claim-bpc-157-tendon-recovery","MERGE","Active","evidence_claim","TRUE","headline","Faster tendon recovery"
"","claim-bpc-157-tendon-recovery","MERGE","","evidence_claim","FALSE","notes","<p>BPC-157 promoted tendon outgrowth, cell migration, and survival in injured Achilles tendons in a controlled rat model. <a href=""https://pubmed.ncbi.nlm.nih.gov/21030672/"" title=""BPC-157 tendon healing study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bpc-157-gut-lining","MERGE","Active","evidence_claim","TRUE","headline","Soothes the gut lining"
"","claim-bpc-157-gut-lining","MERGE","","evidence_claim","FALSE","notes","<p>Repeated preclinical studies show BPC-157 protects the gastrointestinal mucosa and accelerates healing of ulcers and inflammatory bowel injury. <a href=""https://pubmed.ncbi.nlm.nih.gov/22300085/"" title=""BPC-157 IBD and gut healing review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bpc-157-strained-joints","MERGE","Active","evidence_claim","TRUE","headline","Heals strained joints"
"","claim-bpc-157-strained-joints","MERGE","","evidence_claim","FALSE","notes","<p>Improved healing of transected medial collateral ligaments with faster functional recovery versus controls in a rat injury model. <a href=""https://pubmed.ncbi.nlm.nih.gov/20225319/"" title=""BPC-157 ligament healing study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bpc-157-speeds-healing","MERGE","Active","evidence_claim","TRUE","headline","Speeds up healing"
"","claim-bpc-157-speeds-healing","MERGE","","evidence_claim","FALSE","notes","<p>Activates VEGFR2-Akt-eNOS signaling and angiogenesis pathways implicated in vascular and wound recovery. <a href=""https://pubmed.ncbi.nlm.nih.gov/17186181/"" title=""BPC-157 angiogenesis and NO system study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-bpc-157-calms-inflammation","MERGE","Active","evidence_claim","TRUE","headline","Calms inflammation"
"","claim-bpc-157-calms-inflammation","MERGE","","evidence_claim","FALSE","notes","<p>Reduces pro-inflammatory cytokines and oxidative-stress markers across multiple injury models. <a href=""https://pubmed.ncbi.nlm.nih.gov/24304574/"" title=""BPC-157 colitis and inflammation healing study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-renewed-skin","MERGE","Active","evidence_claim","TRUE","headline","Smoother, renewed skin"
"","claim-ghk-cu-renewed-skin","MERGE","","evidence_claim","FALSE","notes","<p>Remodels the dermal extracellular matrix and supports tissue regeneration after skin injury. <a href=""https://pubmed.ncbi.nlm.nih.gov/18644225/"" title=""GHK-Cu tissue remodeling review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-younger-skin","MERGE","Active","evidence_claim","TRUE","headline","Younger-looking skin"
"","claim-ghk-cu-younger-skin","MERGE","","evidence_claim","FALSE","notes","<p>Modulates expression of more than 4,000 human genes back toward a more youthful profile. <a href=""https://pubmed.ncbi.nlm.nih.gov/22666519/"" title=""GHK-Cu gene expression and aging study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-collagen","MERGE","Active","evidence_claim","TRUE","headline","Boosts collagen"
"","claim-ghk-cu-collagen","MERGE","","evidence_claim","FALSE","notes","<p>Stimulates fibroblast collagen, elastin, and proteoglycan production in dermal studies. <a href=""https://pubmed.ncbi.nlm.nih.gov/3169264/"" title=""GHK-Cu collagen synthesis study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-fuller-hair","MERGE","Active","evidence_claim","TRUE","headline","Stronger, fuller hair"
"","claim-ghk-cu-fuller-hair","MERGE","","evidence_claim","FALSE","notes","<p>Increases hair-follicle size and reduces follicle-cell apoptosis in scalp-tissue models. <a href=""https://pubmed.ncbi.nlm.nih.gov/18644225/"" title=""GHK-Cu tissue remodeling and hair follicle review on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-ghk-cu-antioxidant","MERGE","Active","evidence_claim","TRUE","headline","Antioxidant shield"
"","claim-ghk-cu-antioxidant","MERGE","","evidence_claim","FALSE","notes","<p>Quenches reactive oxygen species and protects keratinocytes from UV-induced oxidative damage. <a href=""https://pubmed.ncbi.nlm.nih.gov/22666519/"" title=""GHK-Cu antioxidant and neuroprotection study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-trust-connection","MERGE","Active","evidence_claim","TRUE","headline","Builds trust & connection"
"","claim-oxytocin-trust-connection","MERGE","","evidence_claim","FALSE","notes","<p>Intranasal oxytocin significantly increased trust behavior in a controlled human economic-game study. <a href=""https://pubmed.ncbi.nlm.nih.gov/15931222/"" title=""Oxytocin trust study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-stress-buffer","MERGE","Active","evidence_claim","TRUE","headline","Calms stress under pressure"
"","claim-oxytocin-stress-buffer","MERGE","","evidence_claim","FALSE","notes","<p>Combined with social support, suppressed cortisol and subjective stress in a psychosocial stress test. <a href=""https://pubmed.ncbi.nlm.nih.gov/14675803/"" title=""Oxytocin stress buffering study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-social-awareness","MERGE","Active","evidence_claim","TRUE","headline","Sharper social awareness"
"","claim-oxytocin-social-awareness","MERGE","","evidence_claim","FALSE","notes","<p>Improved recognition of subtle emotional cues from the eyes in a placebo-controlled human trial. <a href=""https://pubmed.ncbi.nlm.nih.gov/17137561/"" title=""Oxytocin social cognition study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-positive-memories","MERGE","Active","evidence_claim","TRUE","headline","Brighter social memories"
"","claim-oxytocin-positive-memories","MERGE","","evidence_claim","FALSE","notes","<p>Enhanced recall of positive social information in a double-blind, placebo-controlled human trial. <a href=""https://pubmed.ncbi.nlm.nih.gov/18343353/"" title=""Oxytocin positive social memory study on PubMed"" target=""_blank"">[PubMed]</a></p>"
"","claim-oxytocin-quiets-anxiety","MERGE","Active","evidence_claim","TRUE","headline","Quiets social anxiety"
"","claim-oxytocin-quiets-anxiety","MERGE","","evidence_claim","FALSE","notes","<p>fMRI evidence shows dampened amygdala reactivity to threatening social stimuli. <a href=""https://pubmed.ncbi.nlm.nih.gov/20720535/"" title=""Oxytocin social anxiety amygdala study on PubMed"" target=""_blank"">[PubMed]</a></p>"
